Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_equal_2,major,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_2,major,clone1,chisel_5x_acCNA,0.513611615245009,0.07543859649122808,0.9438596491228071,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.030303030303030276,0.056140350877192984,0.9745916515426497,0.06666666666666667,0.9675675675675676
CN_equal_2,major,clone2,chisel_5x_acCNA,0.5310150375939849,0.15653021442495124,0.9,0.14814814814814814,0.10526315789473684,0.12307692307692308,0.07166123778501632,0.1,0.956766917293233,0.14814814814814814,0.9373848987108656
CN_equal_2,major,clone3,chisel_5x_acCNA,0.5132258270125565,0.09816696914700546,0.9122807017543859,0.08,0.06896551724137931,0.07407407407407408,0.028298670303443574,0.08771929824561403,0.9574861367837338,0.08,0.9504587155963303
CN_equal_2,major,clone4,chisel_5x_acCNA,0.4572649572649572,0.05448717948717949,0.8298245614035088,0.016666666666666666,0.02564102564102564,0.0202020202020202,-0.06840579710144934,0.17017543859649123,0.8888888888888888,0.016666666666666666,0.9254901960784314
CN_equal_2,major,clone5,chisel_5x_acCNA,0.5034782962450673,0.13389324374766703,0.8350877192982457,0.08771929824561403,0.10638297872340426,0.09615384615384616,0.006342494714587699,0.1649122807017544,0.9005736137667304,0.08771929824561403,0.9181286549707602
CN_equal_2,major,clone6,chisel_5x_acCNA,0.5248737748737748,0.17304318488529014,0.8596491228070176,0.15,0.11538461538461539,0.13043478260869565,0.05550952775476381,0.14035087719298245,0.9343629343629344,0.15,0.9132075471698113
CN_equal_2,major,clone7,chisel_5x_acCNA,0.5122155196051549,0.15921681934092874,0.8180701754385965,0.10189228529839883,0.14285714285714285,0.118946474086661,0.020667236614509865,0.1819298245614035,0.881573896353167,0.10189228529839883,0.9162178336325554
CN_equal_2,major,clone8,chisel_5x_acCNA,0.5012620719929762,0.15679780079000746,0.7614035087719299,0.0603448275862069,0.20588235294117646,0.09333333333333334,0.001185383703551146,0.23859649122807017,0.7966417910447762,0.0603448275862069,0.9405286343612335
CN_equal_2,major,clone9,chisel_5x_acCNA,0.5444607843137255,0.23311359150087607,0.8019298245614035,0.16561314791403287,0.21833333333333332,0.18835370237239396,0.07797120137545666,0.19807017543859648,0.8705882352941177,0.16561314791403287,0.9044611937258097
CN_equal_3,minor,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_3,minor,clone1,chisel_5x_acCNA,0.5177120938628159,0.0756578947368421,0.9473684210526315,0.0625,0.0625,0.0625,0.03542418772563172,0.05263157894736842,0.9729241877256317,0.0625,0.9729241877256317
CN_equal_3,minor,clone2,chisel_5x_acCNA,0.5218168279970217,0.09663834178688273,0.9571929824561404,0.10638297872340426,0.058823529411764705,0.07575757575757576,0.05570190923657703,0.04280701754385965,0.9848101265822785,0.10638297872340426,0.9714591509097396
CN_equal_3,minor,clone3,chisel_5x_acCNA,0.5412390847090318,0.14971887121454752,0.9035087719298246,0.11764705882352941,0.13793103448275862,0.126984126984127,0.07625670340031832,0.09649122807017543,0.944547134935305,0.11764705882352941,0.9533582089552238
CN_equal_3,minor,clone4,chisel_5x_acCNA,0.48977695167286245,0.028070175438596492,0.9245614035087719,0.0,0.0,0.0,-0.02957237671175328,0.07543859649122807,0.9795539033457249,0.0,0.9427549194991055
CN_equal_3,minor,clone5,chisel_5x_acCNA,0.4925763574660634,0.0578272604588394,0.9052631578947369,0.03333333333333333,0.038461538461538464,0.03571428571428572,-0.01383399209486158,0.09473684210526316,0.9466911764705882,0.03333333333333333,0.9537037037037037
CN_equal_3,minor,clone6,chisel_5x_acCNA,0.5168518518518518,0.10839978734715575,0.9196491228070175,0.10101010101010101,0.06666666666666667,0.08032128514056225,0.040150011030222754,0.08035087719298245,0.967037037037037,0.10101010101010101,0.9491094147582697
CN_equal_3,minor,clone7,chisel_5x_acCNA,0.48794063079777367,0.027192982456140352,0.9228070175438596,0.0,0.0,0.0,-0.03320425146247019,0.07719298245614035,0.9758812615955473,0.0,0.9443447037701975
